abstract_num,title,cluster_label,mentions,mention_count
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,Optimal Transport,Optimal Transport; its,2
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,SPOT,an implicit generative learning based framework called SPOT; SPOT; SPOT,3
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,the optimal transport plan,the optimal transport plan; the optimal transport plan; the optimal transport plan,3
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] many machine learning applications,many machine learning applications,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] the heavy computational burden,the heavy computational burden,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] the scalability issue,the scalability issue,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] a pushforward of a reference distribution,a pushforward of a reference distribution,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] the optimal transport problem,the optimal transport problem,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] a minimax problem,a minimax problem,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] OT problems,OT problems,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] primal dual stochastic gradient-type algorithms,primal dual stochastic gradient-type algorithms,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] neural ordinary differential equations,neural ordinary differential equations,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] Numerical experiments on both synthetic and real datasets,Numerical experiments on both synthetic and real datasets,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[singleton] domain adaptation,domain adaptation,1
1,On Scalable and Efficient Computation of Large Scale Optimal Transport,[self-reference],we; we; We; We; we; us,6
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,RADAR,RADAR; the first framework that enables test-time adaptation to unseen news videos; RADAR; RADAR; RADAR,5
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,the target domain,the target domain; the target domain,2
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,unstable instances,semantically related but unstable instances; unstable instances representations,2
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,stable references,their stable references; stable references,2
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] Fake News Video Detection,Fake News Video Detection,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] Existing methods,Existing methods,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] a new retrieval-guided adaptation paradigm,a new retrieval-guided adaptation paradigm,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] an Entropy Selection-Based Retrieval mechanism,an Entropy Selection-Based Retrieval mechanism,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] a Stable Anchor-Guided Alignment module,a Stable Anchor-Guided Alignment module,1
